index,year,action,adventure,biography,crime,drama,horror,total
1,"1970-79","1","1","0","2","4","1","9"
2,"1980-89","4","3","0","0","2","1","10"
3,"1990-99","0","0","1","2","4","0","7"
4,"2000-2009","4","3","0","1","4","0","12"
5,"2010-2019","1","1","0","0","0","0","2"
